id,name,urban_rural,population,city,province,region
955,Vitalez,Urban,3886,CITY OF PARAÑAQUE,METRO MANILA,NCR - National Capital Region
1157,Aguho,Urban,6769,PATEROS,METRO MANILA,NCR - National Capital Region
1158,Magtanggol,Urban,1734,PATEROS,METRO MANILA,NCR - National Capital Region
1159,Martires Del 96,Urban,4235,PATEROS,METRO MANILA,NCR - National Capital Region
1160,Poblacion,Urban,2571,PATEROS,METRO MANILA,NCR - National Capital Region
1161,San Pedro,Urban,2276,PATEROS,METRO MANILA,NCR - National Capital Region
1162,San Roque,Urban,4436,PATEROS,METRO MANILA,NCR - National Capital Region
1163,Santa Ana,Urban,26005,PATEROS,METRO MANILA,NCR - National Capital Region
1164,Santo Rosario-Kanluran,Urban,6042,PATEROS,METRO MANILA,NCR - National Capital Region
1165,Santo Rosario-Silangan,Urban,5054,PATEROS,METRO MANILA,NCR - National Capital Region
1166,Tabacalera,Urban,2818,PATEROS,METRO MANILA,NCR - National Capital Region
1167,Tanyag (Bagong Tanyag),Urban,43452,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1168,Bagumbayan,Urban,31777,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1169,Bambang,Urban,6199,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1170,Calzada,Urban,14822,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1171,Hagonoy,Urban,21181,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1172,Ibayo-Tipas,Urban,18031,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1173,Ligid-Tipas,Urban,7839,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1174,Lower Bicutan,Urban,79886,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1175,Maharlika Village,Urban,16474,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1176,Napindan,Urban,11623,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1177,Palingon,Urban,10625,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1178,Santa Ana,Urban,14946,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1179,Central Signal Village (Signal Village),Urban,107906,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1180,Tuktukan,Urban,8011,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1181,Upper Bicutan,Urban,62570,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1182,Ususan,Urban,25182,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1183,Wawa,Urban,8662,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1184,Western Bicutan,Urban,124157,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1185,Central Bicutan,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1186,Fort Bonifacio,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1187,Katuparan,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1188,New Lower Bicutan,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1189,North Daan Hari,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1190,North Signal Village,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1191,Pinagsama,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1192,San Miguel,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1193,South Daan Hari,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1194,South Signal Village,Rural,0,TAGUIG CITY,METRO MANILA,NCR - National Capital Region
1195,Barangka,Urban,17424,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1196,Calumpang,Urban,15589,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1197,Concepcion Uno,Urban,40277,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1198,Jesus De La Peña,Urban,8553,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1199,Malanday,Urban,51363,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1200,Nangka,Urban,41837,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1201,Parang,Urban,36333,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1202,San Roque,Urban,18756,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1203,Santa Elena (Pob.),Urban,7008,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1204,Santo Niño,Urban,24694,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1205,Tañong,Urban,9360,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1206,Concepcion Dos,Urban,27809,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1207,Marikina Heights (Concepcion),Urban,37818,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1208,Industrial Valley,Urban,14050,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1209,Fortune,Urban,34111,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1210,Tumana,Urban,39628,CITY OF MARIKINA,METRO MANILA,NCR - National Capital Region
1211,Bagong Ilog,Urban,15454,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1212,Bagong Katipunan,Urban,1185,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1213,Bambang,Urban,19258,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1214,Buting,Urban,9073,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1215,Caniogan,Urban,21769,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1216,Dela Paz,Urban,13047,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1217,Kalawaan,Urban,23442,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1218,Kapasigan,Urban,6569,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1219,Kapitolyo,Urban,10451,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1220,Malinao,Urban,5957,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1221,Manggahan,Urban,34270,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1222,Maybunga,Urban,35627,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1223,Oranbo,Urban,4395,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1224,Palatiw,Urban,16929,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1225,Pinagbuhatan,Urban,105435,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1226,Pineda,Urban,15013,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1227,Rosario,Urban,50690,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1228,Sagad,Urban,6887,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1229,San Antonio,Urban,11666,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1230,San Joaquin,Urban,12498,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1231,San Jose,Urban,2347,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1232,San Miguel,Urban,30069,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1233,San Nicolas (Pob.),Urban,1542,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1234,Santa Cruz,Urban,4367,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1235,Santa Rosa,Urban,1515,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1236,Santo Tomas,Urban,6375,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1237,Santolan,Urban,43286,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1238,Sumilang,Urban,5392,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1239,Ugong,Urban,22266,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1240,Santa Lucia,Urban,40553,CITY OF PASIG,METRO MANILA,NCR - National Capital Region
1241,Alicia,Urban,6276,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1242,Amihan,Urban,4545,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1243,Apolonio Samson,Urban,35397,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1244,Aurora,Urban,5382,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1245,Baesa,Urban,55414,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1246,Bagbag,Urban,33249,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1247,Bagumbuhay,Urban,6507,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1248,Bagong Lipunan Ng Crame,Urban,12398,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1249,Bagong Pag-asa,Urban,46365,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1250,Bagong Silangan,Urban,73612,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1251,Bagumbayan,Urban,9209,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1252,Bahay Toro,Urban,65767,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1253,Balingasa,Urban,19947,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1254,Bayanihan,Urban,1099,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1255,Blue Ridge A,Urban,1743,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1256,Blue Ridge B,Urban,1504,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1257,Botocan,Urban,8822,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1258,Bungad,Urban,7799,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1259,Camp Aguinaldo,Urban,5261,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1260,Central,Urban,19082,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1261,Claro,Urban,4304,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1262,Commonwealth,Urban,172834,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1263,New Era (Constitution Hills),Urban,7911,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1264,Kristong Hari,Urban,3409,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1265,Culiat,Urban,68618,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1266,Damar,Urban,1542,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1267,Damayan,Urban,7896,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1268,Damayang Lagi,Urban,20260,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1269,Del Monte,Urban,11035,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1270,Dioquino Zobel,Urban,1672,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1271,Doña Imelda,Urban,17647,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1272,Doña Josefa,Urban,3163,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1273,Don Manuel,Urban,3702,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1274,Duyan-duyan,Urban,3129,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1275,E. Rodriguez,Urban,19253,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1276,East Kamias,Urban,6149,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1277,Escopa I,Urban,2239,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1278,Escopa II,Urban,1850,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1279,Escopa III,Urban,8123,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1280,Escopa IV,Urban,1865,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1281,Fairview,Urban,47464,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1282,N.S. Amoranto (Gintong Silahis),Urban,7408,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1283,Gulod,Urban,56620,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1284,Horseshoe,Urban,2698,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1285,Immaculate Concepcion,Urban,8728,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1286,Kaligayahan,Urban,44018,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1287,Kalusugan,Urban,3652,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1288,Kamuning,Urban,15318,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1289,Katipunan,Urban,2335,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1290,Kaunlaran,Urban,7743,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1291,Krus Na Ligas,Urban,21089,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1292,Laging Handa,Urban,5540,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1293,Libis,Urban,4611,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1294,Lourdes,Urban,4762,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1295,Loyola Heights,Urban,17517,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1296,Maharlika,Urban,4728,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1297,Malaya,Urban,3702,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1298,Manresa,Urban,17501,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1299,Mangga,Urban,634,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1300,Mariana,Urban,11079,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1301,Mariblo,Urban,4076,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1302,Marilag,Urban,9855,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1303,Masagana,Urban,4774,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1304,Masambong,Urban,11694,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1305,Santo Domingo (Matalahib),Urban,13075,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1306,Matandang Balara,Urban,70112,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1307,Milagrosa,Urban,4929,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1308,Nagkaisang Nayon,Urban,46064,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1309,Nayong Kanluran,Urban,1984,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1310,Novaliches Proper,Urban,14737,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1311,Obrero,Urban,8338,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1312,Old Capitol Site,Urban,1974,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1313,Paang Bundok,Urban,5469,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1314,Pag-ibig Sa Nayon,Urban,5364,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1315,Paligsahan,Urban,4755,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1316,Paltok,Urban,17171,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1317,Pansol,Urban,24246,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1318,Paraiso,Urban,3518,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1319,Pasong Putik Proper (Pasong Putik),Urban,28848,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1320,Pasong Tamo,Urban,82340,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1321,Phil-Am,Urban,2877,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1322,Pinyahan,Urban,26381,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1323,Pinagkaisahan,Urban,7215,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1324,Project 6,Urban,13397,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1325,Quirino 2-A,Urban,5342,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1326,Quirino 2-B,Urban,4277,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1327,Quirino 2-C,Urban,3079,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1328,Quirino 3-A,Urban,1172,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1329,Ramon Magsaysay,Urban,15574,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1330,Roxas,Urban,14379,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1331,Sacred Heart,Urban,7168,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1332,Saint Ignatius,Urban,2174,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1333,Saint Peter,Urban,5197,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1334,Salvacion,Urban,9211,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1335,San Agustin,Urban,22284,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1336,San Antonio,Urban,24666,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1337,San Bartolome,Urban,44631,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1338,San Isidro,Urban,7424,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1339,San Isidro Labrador,Urban,7261,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1340,San Jose,Urban,6277,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1341,San Martin De Porres,Urban,13091,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1342,San Roque,Urban,20229,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1343,San Vicente,Urban,6157,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1344,Santa Cruz,Urban,5031,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1345,Santa Lucia,Urban,24050,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1346,Santa Monica,Urban,44186,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1347,Santa Teresita,Urban,8840,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1348,Santo Cristo,Urban,8486,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1349,Santo Niño,Urban,9382,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1350,Santol,Urban,8519,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1351,Sauyo,Urban,67587,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1352,Sienna,Urban,3997,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1353,Sikatuna Village,Urban,6673,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1354,Silangan,Urban,4802,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1355,Socorro,Urban,23546,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1356,South Triangle,Urban,12333,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1357,Tagumpay,Urban,2128,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1358,Talayan,Urban,5515,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1359,Talipapa,Urban,34632,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1360,Tandang Sora,Urban,74863,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1361,Tatalon,Urban,57930,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1362,Teachers Village East,Urban,3065,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1363,Teachers Village West,Urban,4341,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1364,U.P. Campus,Urban,34119,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1365,U.P. Village,Urban,4558,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1366,Ugong Norte,Urban,6822,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1367,Unang Sigaw,Urban,7059,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1368,Valencia,Urban,7671,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1369,Vasra,Urban,6543,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1370,Veterans Village,Urban,9635,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1371,Villa Maria Clara,Urban,2180,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1372,West Kamias,Urban,4533,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1373,West Triangle,Urban,3486,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1374,White Plains,Urban,3803,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1375,Balong Bato,Urban,7501,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1376,Capri,Urban,12427,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1377,Sangandaan,Urban,24100,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1378,Payatas,Urban,117001,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1379,Batasan Hills,Urban,148624,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1380,Holy Spirit,Urban,106038,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1381,Greater Lagro,Urban,21297,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1382,North Fairview,Urban,36235,QUEZON CITY,METRO MANILA,NCR - National Capital Region
1383,Addition Hills,Urban,3104,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1384,Balong-Bato,Urban,7079,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1385,Batis,Urban,8855,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1386,Corazon De Jesus,Urban,11894,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1387,Ermitaño,Urban,3110,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1388,Halo-halo (St. Joseph),Urban,4336,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1389,Isabelita,Urban,1511,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1390,Kabayanan,Urban,4804,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1391,Little Baguio,Urban,5484,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1392,Maytunas,Urban,2816,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1393,Onse,Urban,3359,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1394,Pasadeña,Urban,4203,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1395,Pedro Cruz,Urban,4123,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1396,Progreso,Urban,1974,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1397,Rivera,Urban,2917,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1398,Salapan,Urban,8850,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1399,San Perfecto,Urban,4493,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1400,Santa Lucia,Urban,7193,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
